"extraction_id","source_document","source_path","business_unit","content_type","extraction_date","extracted_by","readiness","review_status","reviewer","final_disposition","destination_path","notes"
"W3S1-003","HIST-007 Hollywood Bets V5.0 Accepted Proposal (April 2023); HIST-006 SAA HCM RFP Response (June 2025); HIST-015 Afrocentric HCM Proposal V4.0 (2023); HIST-016 SABS ETS Oracle Fusion (Dec 2025)","Parties/Customers/Hollywood Bets/RFP/HCM and Payroll Implementation/Accepted proposal/; Parties/Customers/South African Airways/HCM/1.Working/; Parties/Customers/Afrocentric Health/RFP/HCM 2023/; Parties/Customers/SABS/RFP/ETS/","Oracle","HCM Capability Statement","2026-06-12","Claude (AI extraction) — Wave 3 Session 1","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W3S1-003-ORA-RecruitingCloud.md","Wave 3 W3S1-003 Oracle Recruiting Cloud. 18 sections. All 8 BU Lead decisions CLOSED. KB destination: 06_Capabilities/Oracle/Oracle_HCM/"
"W3S1-004","HIST-006 SAA HCM RFP Response (June 2025); HIST-015 Afrocentric HCM Proposal V4.0 (2023); HIST-016 SABS ETS Oracle Fusion (Dec 2025); ORACLE_FACT_BASELINE Section 19 (Mr Price Learning Cloud)","Parties/Customers/South African Airways/HCM/1.Working/; Parties/Customers/Afrocentric Health/RFP/HCM 2023/; Parties/Customers/SABS/RFP/ETS/; 00_Governance/ORACLE_FACT_BASELINE.md","Oracle","HCM Capability Statement","2026-06-12","Claude (AI extraction) — Wave 3 Session 1","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W3S1-004-ORA-LearningCloud.md","Wave 3 W3S1-004 Oracle Fusion Learning Cloud. 15 content sections + Section 17. All 5 BU Lead decisions CLOSED. OI-W4-001: Hollywood Bets EXCLUDED; Mr Price Group = sole referenceable client. KB destination: 06_Capabilities/Oracle/Oracle_HCM/"
"W3S1-005","HIST-006 SAA HCM RFP Response (June 2025); HIST-015 Afrocentric HCM Proposal V4.0 (2023); ORACLE_FACT_BASELINE Section 19 (DFA — Rule 21.4; Redpath Mining — Rule 21.5)","Parties/Customers/South African Airways/HCM/1.Working/; Parties/Customers/Afrocentric Health/RFP/HCM 2023/; 00_Governance/ORACLE_FACT_BASELINE.md","Oracle","HCM Capability Statement","2026-06-13","Claude (AI extraction) — Wave 3 Session 1","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W3S1-005-ORA-WorkforceCompensation.md","Wave 3 W3S1-005 Oracle Workforce Compensation. All 5 BU Lead decisions CLOSED. OI-W5-001: NO referenceable client. OI-W5-002: Redpath pipeline approved framing. G-001: Mining sector only. SVR-W3S1-005 v1.1 AUTHORISED 2026-06-13. KB destination: 06_Capabilities/Oracle/Oracle_HCM/"
"W3S1-006","HIST-006 SAA HCM RFP Response; HIST-007 Hollywood Bets V5.0; HIST-008 RedPath Mining RFI; HIST-015 Afrocentric V4.0; ORACLE_FACT_BASELINE Sections 4.1 + 19 + 21","Parties/Customers/South African Airways/HCM/1.Working/; Parties/Customers/Hollywood Bets/; Parties/Customers/RedPath Mining/; Parties/Customers/Afrocentric Health/; 00_Governance/ORACLE_FACT_BASELINE.md","Oracle","HCM Capability Statement","2026-06-13","Claude (AI extraction) — Wave 3 Session 1","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W3S1-006-ORA-HCMAnalytics.md","Wave 3 W3S1-006 Oracle HCM Analytics & Workforce Intelligence. Upgraded Tier 2 → Tier 1 2026-06-14 (HB OTBI/TDE confirmed deliverables — BU Lead decision); WP3-EX-002 CLOSED. SVR-W3S1-006 v1.1 AUTHORISED 2026-06-13. KB destination: 06_Capabilities/Oracle/Oracle_HCM/"
"W3S1-007","HIST-006 SAA HCM RFP; HIST-007 Hollywood Bets V5.0; HIST-015 Afrocentric V4.0; HIST-016 SABS ETS; ORACLE_FACT_BASELINE Sections 4.1 + 7 + 17 + 19 + 21; Redpath Mining RACI","Parties/Customers/South African Airways/HCM/; Parties/Customers/Hollywood Bets/; Parties/Customers/Afrocentric Health/; Parties/Customers/SABS/; 00_Governance/ORACLE_FACT_BASELINE.md; Parties/Customers/RedPath Mining/","Oracle","HCM Capability Statement","2026-06-13","Claude (AI extraction) — Wave 3 Session 1","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W3S1-007-ORA-WorkforceManagement.md","Wave 3 W3S1-007 Oracle Workforce Management. All 5 BU Lead decisions CLOSED 2026-06-13. OI-W7-001: Mr Price T&L = PoC (PoC framing mandatory). Primary evidence: Hollywood Bets Absence Management (Phase 3.3.1 — Tier 1 — go-live July 2025). SVR-W3S1-007 v1.1 AUTHORISED 2026-06-13. KB destination: 06_Capabilities/Oracle/Oracle_HCM/"
"W3S1-008","HIST-007 Hollywood Bets V5.0; HIST-006 SAA HCM RFP; HIST-008 RedPath Mining RFI; HIST-015 Afrocentric V4.0; HIST-014 CCBA HCM Solution V2.0; ORACLE_FACT_BASELINE Sections 4.1 + 7 + 19 + 21","Parties/Customers/Hollywood Bets/; Parties/Customers/South African Airways/; Parties/Customers/RedPath Mining/; Parties/Customers/Afrocentric Health/; 00_Governance/ORACLE_FACT_BASELINE.md","Oracle","HCM Capability Statement","2026-06-13","Claude (AI extraction) — Wave 3 Session 1","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W3S1-008-ORA-HelpDesk-HRServiceDelivery.md","Wave 3 W3S1-008 Oracle Help Desk & HR Service Delivery. All 5 BU Lead decisions CLOSED 2026-06-13. D-001–D-003 applied (PT-W8-007 — Section 14.2 internal only). Standing: Oracle HR Help Desk must never be called Oracle Fusion Service / Oracle Service Cloud / Oracle B2C Service. SVR-W3S1-008 v1.1 AUTHORISED 2026-06-13. KB destination: 06_Capabilities/Oracle/Oracle_HCM/"
"W3S1-009","ANN1-V4.1 (Annexure 1_Oracle HCM Implementation V4.1.docx — contractual; Hollywood Bets; highest evidential weight); HIST-007 (Hollywood Bets V5.0); HIST-006 (SAA HCM RFP June 2025); HIST-015 (Afrocentric V4.0); DFA Monthly Reports 2022–2023 (internal — Rule 21.4)","Parties/Customers/Hollywood Bets/RFP/HCM and Payroll Implementation/Accepted proposal/Annexure 1_Oracle HCM Implementation V4.1.docx; Parties/Customers/Hollywood Bets/; Parties/Customers/South African Airways/; Parties/Customers/Afrocentric Health/; Parties/Customers/Dark Fibre Africa/","Oracle","HCM Capability Statement","2026-06-13","Claude (AI extraction) — Wave 3 Session 1","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W3S1-009-ORA-PayrollInterface-Integration.md","Wave 3 W3S1-009 Oracle HCM Payroll Interface & Integration. All 5 BU Lead decisions CLOSED 2026-06-13. OI-W9-002: EBS Payroll framing PROHIBITED; PaySpace framing authoritative. C-001–C-004 applied (PT-W9-008 — Section 13.2 internal only). Architecture: Oracle Fusion HCM ↔ OIC ↔ PaySpace (bidirectional). DFA: internal corroboration only (Rule 21.4). SVR-W3S1-009 v1.1 AUTHORISED 2026-06-13. KB destination: 06_Capabilities/Oracle/Oracle_HCM/"
"W4-HCM-002","HIST-007 (Hollywood Bets V5.0 Accepted Proposal — Journeys confirmed in HB Phase 1 Global HR scope; BU Lead decision 2026-06-14)","Parties/Customers/Hollywood Bets/RFP/HCM and Payroll Implementation/Accepted proposal/","Oracle","HCM Capability Statement","2026-06-14","Claude (AI — Wave 4 W4-HCM-002 extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W4-HCM-002-ORA-Journeys.md","Wave 4 W4-HCM-002 Oracle Journeys — Employee Guided Workflows. Tier 1 (HB Phase 1 Global HR — Journeys confirmed BU Lead 2026-06-14; HIST-007). Approved by Hein Blignaut 2026-06-14. approved_for_reuse: Yes. Hollywood Bets named reference — account manager approval required at each tender. No signed HB reference letter in KB. KB copy: 06_Capabilities/Oracle/Oracle_HCM/W4-HCM-002-ORA-Journeys.md."
"W4-AI-002","HIST-007 (Hollywood Bets V5.0 Accepted Proposal — AI Skills confirmed in HB Phase 4 Talent Management scope; BU Lead decision 2026-06-14)","Parties/Customers/Hollywood Bets/RFP/HCM and Payroll Implementation/Accepted proposal/","Oracle","HCM Capability Statement","2026-06-14","Claude (AI — Wave 4 W4-AI-002 extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W4-AI-002-ORA-AISkills.md","Wave 4 W4-AI-002 Oracle AI-Based Skills Intelligence. Tier 1 (HB Phase 4 Talent Management — AI Skills confirmed BU Lead 2026-06-14; HIST-007). Approved by Hein Blignaut 2026-06-14. approved_for_reuse: Yes. Hollywood Bets named reference — account manager approval required at each tender. Do NOT conflate with ODA or Oracle Grow. KB copy: 06_Capabilities/Oracle/Oracle_HCM/W4-AI-002-ORA-AISkills.md."
"W4-INT-001","HIST-018 (ANN1-V4.1 Hollywood Bets Annexure 1 V4.1 — contractual; OIC ↔ PaySpace bidirectional; production; R825170 billing — CONFIDENTIAL — never disclose externally)","Parties/Customers/Hollywood Bets/RFP/HCM and Payroll Implementation/Accepted proposal/","Oracle","Integration Capability Statement","2026-06-14","Claude (AI — Wave 4 W4-INT-001 extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W4-INT-001-ORA-OICAccelerators.md","Wave 4 W4-INT-001 Oracle OIC Integration Architecture & Accelerators. Tier 1 contractual (HIST-018 — highest-weight evidence in KB). Approved by Hein Blignaut 2026-06-14. approved_for_reuse: Yes. Hollywood Bets named reference — account manager approval required. HIST-018 billing figure R825170 must NEVER appear in any external submission. DFA: Rule 21.4 (never named). KB copy: 06_Capabilities/Oracle/W4-INT-001-ORA-OICAccelerators.md."
"W4-ERP-001","ORACLE_FACT_BASELINE Section 11 (Investec — Fusion Finance multi-country SA/USA/UK; NALA Renewables — 8 countries EU; Cape Union Mart — Finance + Procurement); DFA internal Rule 21.4","00_Governance/ORACLE_FACT_BASELINE.md","Oracle","ERP Capability Statement","2026-06-14","Claude (AI — Wave 4 W4-ERP-001 extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W4-ERP-001-ORA-FusionFinancials.md","Wave 4 W4-ERP-001 Oracle Fusion Financials. Tier 1 (Investec/NALA Renewables/Cape Union Mart confirmed). Approved by Hein Blignaut 2026-06-14. approved_for_reuse: Yes. CRITICAL AM-W4E1-001 ACTIVE: No client may be named externally until signed reference letter confirmed and registered in 04_References/Oracle/. Cape Union Mart scope must be confirmed as Oracle Fusion Finance (not Acumatica/PaySpace). DFA: Rule 21.4. KB copy: 06_Capabilities/Oracle/W4-ERP-001-ORA-FusionFinancials.md."
"W4-ERP-002","ORACLE_FACT_BASELINE Section 11 (Cape Union Mart — Fusion Finance + Procurement; Investec — Fusion Finance + Procurement multi-country); DFA internal Rule 21.4","00_Governance/ORACLE_FACT_BASELINE.md","Oracle","ERP Capability Statement","2026-06-14","Claude (AI — Wave 4 W4-ERP-002 extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W4-ERP-002-ORA-FusionProcurement.md","Wave 4 W4-ERP-002 Oracle Fusion Procurement. Tier 1 (Cape Union Mart/Investec confirmed). Approved by Hein Blignaut 2026-06-14. approved_for_reuse: Yes. CRITICAL AM-W4E2-001 ACTIVE: No client may be named until signed letter registered. Cape Union Mart scope must be confirmed as Oracle Fusion Procurement (not Acumatica/PaySpace). DFA: Rule 21.4. KB copy: 06_Capabilities/Oracle/W4-ERP-002-ORA-FusionProcurement.md."
"W4-ERP-003","ORACLE_FACT_BASELINE Section 4.3 (KPMG — Oracle EBS + PPM SADC 6 countries; DFA — internal Rule 21.4)","00_Governance/ORACLE_FACT_BASELINE.md","Oracle","ERP Capability Statement","2026-06-14","Claude (AI — Wave 4 W4-ERP-003 extraction)","DIRECT","Approved","Hein Blignaut","Approved","07_Approved_Content/Approved/Oracle/W4-ERP-003-ORA-PPM.md","Wave 4 W4-ERP-003 Oracle Project Portfolio Management. Tier 1 (KPMG — Oracle EBS + PPM 6 SADC countries; ORACLE_FACT_BASELINE Section 4.3). Approved by Hein Blignaut 2026-06-14. approved_for_reuse: Yes. CRITICAL AM-W4E3-001 ACTIVE: KPMG may NOT be named until signed letter confirmed and registered. ORACLE_FACT_BASELINE 4.3 = derived reference (not HIST-registered primary source). Rule 6 note (AM-W4E3-002): register KPMG source documents as HIST assets. DFA: Rule 21.4. KB copy: 06_Capabilities/Oracle/W4-ERP-003-ORA-PPM.md."
"W4-HCM-004","HIST-016 (SABS ETS — Mr Price Group T&L confirmed scope — PoC per OI-W7-001); ORACLE_FACT_BASELINE Section 11","Parties/Customers/SABS/RFP/ETS/","Oracle","HCM Capability Statement","2026-06-14","Claude (AI — Wave 4 W4-HCM-004 extraction)","HOLD","Retired","Hein Blignaut","Retired","07_Approved_Content/Candidate_Content/Oracle/W4-HCM-004-ORA-TimeLabour-DRAFT.md","Wave 4 W4-HCM-004 Oracle Time and Labour. RETIRED by BU Lead decision 2026-06-14. Reason: Mr Price T&L = proof-of-concept (OI-W7-001) — initiative did not proceed to production; APPSolve not currently supporting client for T&L. T&L capability governed through W3S1-007 Oracle Workforce Management. No standalone T&L capability statement will be maintained until production implementation evidence becomes available. approved_for_reuse: No."
